year,month,date,created_at,category_code,bunrui_code,bunrui_name,date_bunrui_key,amount,memo
2024,3,15,2024/3/15,G,17,家賃,2024031517,97440,
2024,3,15,2024/3/15,C,18,水道代,2024031518,3936,
2024,3,15,2024/3/15,D,19,ガソリン・ETC,2024031519,0,
2024,3,15,2024/3/15,D,20,車維持費,2024031520,0,
2024,4,15,2024/4/15,A,01,みこ収入,2024041501,119210,
2024,4,15,2024/4/15,A,02,りさ収入,2024041502,119000,
2024,4,15,2024/4/15,A,03,臨時収入,2024041503,0,
2024,4,15,2024/4/15,B,10,食費,2024041510,29408,
2024,4,15,2024/4/15,B,11,外食費,2024041511,20323,
2024,4,15,2024/4/15,E,12,日用品,2024041512,30023,
2024,4,15,2024/4/15,F,13,行楽費,2024041513,6800,
2024,4,15,2024/4/15,Z,99,その他,2024041599,13380,
2024,4,15,2024/4/15,C,14,電気代,2024041514,8149,
2024,4,15,2024/4/15,G,15,通信費,2024041515,4708,
2024,4,15,2024/4/15,C,16,ガス代,2024041516,10503,
2024,4,15,2024/4/15,G,17,家賃,2024041517,163440,
2024,4,15,2024/4/15,C,18,水道代,2024041518,0,
2024,4,15,2024/4/15,D,19,ガソリン・ETC,2024041519,4453,
2024,4,15,2024/4/15,D,20,車維持費,2024041520,0,
2024,4,15,2024/4/15,G,21,保険,2024041521,5000,
2024,5,15,2024/5/15,A,01,みこ収入,2024051501,99704,
2024,5,15,2024/5/16,A,02,りさ収入,2024051502,34000,
2024,5,15,2024/5/17,A,03,臨時収入,2024051503,14940,
